Generator,Accuracy
CTGAN,0.6310062865649282
CopulaGAN,0.44933540187430604
TVAE,0.7633621876499288
GaussianCopula,0.7153465303564778
WGAN_GP,0.8015533103871831
CTABGAN,0.7139632106971642
TabDDPM,0.49410238797742034
ForestDiffusion,0.862246695496567
