Generator,Mean_Utility_Loss,Mean_Drop_Pct,Mean_TSTR,Robustness_Rank
ForestDiffusion,0.0344181130786013,3.514628507262252,0.862694079129904,1
WGAN_GP,0.09557251919544163,9.874056985408014,0.8016273923113093,2
TVAE,0.1322880688903881,14.103016160791128,0.7649118426163628,3
GaussianCopula,0.18016356648237877,19.252067790583826,0.7170363450243722,4
CTABGAN,0.18021807160651754,19.322189855452507,0.7169818399002333,5
CTGAN,0.26609940449592434,28.42007471849386,0.6311005070108265,6
TabDDPM,0.39963463678340183,42.91639826286815,0.49747755542510347,7
CopulaGAN,0.44145082199422314,46.71979209402096,0.45574908951252774,8
