Generator,AdaBoost,Decision Tree,Extra Trees,Gradient Boosting,KNN,Logistic Regression,MLP,Naive Bayes,Random Forest,SVM-RBF
CTABGAN,0.941 ± 0.045,0.593 ± 0.106,0.745 ± 0.021,0.917 ± 0.032,0.639 ± 0.028,0.944 ± 0.016,0.637 ± 0.020,0.912 ± 0.040,0.760 ± 0.032,0.947 ± 0.015
CTGAN,0.560 ± 0.053,0.558 ± 0.069,0.555 ± 0.034,0.634 ± 0.043,0.431 ± 0.024,0.605 ± 0.021,0.471 ± 0.024,0.520 ± 0.052,0.557 ± 0.025,0.606 ± 0.021
CopulaGAN,0.937 ± 0.033,0.678 ± 0.043,0.849 ± 0.017,0.946 ± 0.018,0.785 ± 0.020,0.902 ± 0.018,0.739 ± 0.034,0.760 ± 0.037,0.855 ± 0.026,0.916 ± 0.019
ForestDiffusion,0.741 ± 0.028,0.810 ± 0.025,0.934 ± 0.009,0.844 ± 0.024,0.846 ± 0.009,0.705 ± 0.008,0.882 ± 0.011,0.406 ± 0.009,0.941 ± 0.009,0.705 ± 0.008
GaussianCopula,0.679 ± 0.032,0.577 ± 0.042,0.658 ± 0.026,0.729 ± 0.031,0.602 ± 0.020,0.729 ± 0.023,0.648 ± 0.031,0.694 ± 0.053,0.649 ± 0.036,0.732 ± 0.024
TVAE,0.678 ± 0.014,0.600 ± 0.015,0.685 ± 0.015,0.661 ± 0.017,0.652 ± 0.030,0.670 ± 0.012,0.631 ± 0.017,0.506 ± 0.015,0.654 ± 0.013,0.677 ± 0.012
TabDDPM,0.606 ± 0.075,0.537 ± 0.059,0.545 ± 0.053,0.621 ± 0.066,0.547 ± 0.033,0.666 ± 0.048,0.539 ± 0.040,0.786 ± 0.061,0.524 ± 0.061,0.664 ± 0.048
WGAN_GP,0.779 ± 0.023,0.652 ± 0.048,0.809 ± 0.010,0.834 ± 0.015,0.773 ± 0.007,0.725 ± 0.013,0.811 ± 0.010,0.574 ± 0.017,0.811 ± 0.011,0.727 ± 0.013
