Generator,AdaBoost,Decision Tree,Extra Trees,Gradient Boosting,KNN,Logistic Regression,MLP,Naive Bayes,Random Forest,SVM-RBF
CTABGAN,0.702 ± 0.013,0.568 ± 0.064,0.642 ± 0.011,0.692 ± 0.014,0.604 ± 0.014,0.716 ± 0.007,0.600 ± 0.012,0.709 ± 0.010,0.648 ± 0.013,0.716 ± 0.006
CTGAN,0.585 ± 0.028,0.568 ± 0.043,0.576 ± 0.024,0.617 ± 0.021,0.485 ± 0.017,0.603 ± 0.009,0.520 ± 0.020,0.562 ± 0.023,0.575 ± 0.016,0.603 ± 0.009
CopulaGAN,0.705 ± 0.007,0.612 ± 0.030,0.680 ± 0.008,0.706 ± 0.005,0.666 ± 0.009,0.688 ± 0.006,0.646 ± 0.019,0.649 ± 0.014,0.682 ± 0.011,0.692 ± 0.005
ForestDiffusion,0.705 ± 0.006,0.803 ± 0.021,0.923 ± 0.005,0.815 ± 0.013,0.866 ± 0.006,0.699 ± 0.006,0.857 ± 0.007,0.526 ± 0.008,0.902 ± 0.005,0.699 ± 0.005
GaussianCopula,0.644 ± 0.013,0.581 ± 0.026,0.640 ± 0.018,0.661 ± 0.016,0.594 ± 0.012,0.653 ± 0.012,0.629 ± 0.016,0.659 ± 0.017,0.629 ± 0.022,0.654 ± 0.012
TVAE,0.658 ± 0.006,0.614 ± 0.009,0.669 ± 0.008,0.645 ± 0.008,0.644 ± 0.010,0.656 ± 0.004,0.641 ± 0.008,0.571 ± 0.006,0.654 ± 0.006,0.658 ± 0.005
TabDDPM,0.563 ± 0.035,0.538 ± 0.041,0.525 ± 0.030,0.570 ± 0.032,0.541 ± 0.018,0.600 ± 0.022,0.533 ± 0.023,0.641 ± 0.021,0.512 ± 0.036,0.599 ± 0.022
WGAN_GP,0.719 ± 0.009,0.653 ± 0.026,0.748 ± 0.008,0.746 ± 0.009,0.727 ± 0.006,0.685 ± 0.007,0.757 ± 0.008,0.633 ± 0.010,0.748 ± 0.008,0.685 ± 0.007
