Dataset,Generator,Classifier,Leakage,Mean,Std,N,Mean_SD
4. Forest cover dataset,CopulaGAN,AdaBoost,0,0.045,0.03231786571610886,2,0.045 ± 0.032
4. Forest cover dataset,CopulaGAN,Decision Tree,0,0.1005,0.03789239149662282,2,0.101 ± 0.038
4. Forest cover dataset,CopulaGAN,Extra Trees,0,0.07999999999999999,0.02697735676039774,2,0.080 ± 0.027
4. Forest cover dataset,CopulaGAN,Gradient Boosting,0,0.0695,0.03050045537000682,2,0.070 ± 0.031
4. Forest cover dataset,CopulaGAN,KNN,0,0.189,0.04976611966656299,2,0.189 ± 0.050
4. Forest cover dataset,CopulaGAN,Logistic Regression,0,0.05300000000000001,0.02110818693198342,2,0.053 ± 0.021
4. Forest cover dataset,CopulaGAN,MLP,0,0.1385,0.07284115137292471,2,0.139 ± 0.073
4. Forest cover dataset,CopulaGAN,Naive Bayes,0,0.128,0.03521363372331802,2,0.128 ± 0.035
4. Forest cover dataset,CopulaGAN,Random Forest,0,0.06200000000000001,0.01782632260949458,2,0.062 ± 0.018
4. Forest cover dataset,CopulaGAN,SVM-RBF,0,0.049,0.01629587541544042,2,0.049 ± 0.016
4. Forest cover dataset,GaussianCopula,AdaBoost,0,0.496,0.03549647869859771,2,0.496 ± 0.035
4. Forest cover dataset,GaussianCopula,Decision Tree,0,0.4245,0.03624377341159597,2,0.424 ± 0.036
4. Forest cover dataset,GaussianCopula,Extra Trees,0,0.4715,0.03383374383987416,2,0.471 ± 0.034
4. Forest cover dataset,GaussianCopula,Gradient Boosting,0,0.5045000000000001,0.03312015163679728,2,0.505 ± 0.033
4. Forest cover dataset,GaussianCopula,KNN,0,0.421,0.0211869981094276,2,0.421 ± 0.021
4. Forest cover dataset,GaussianCopula,Logistic Regression,0,0.534,0.01822696415265644,2,0.534 ± 0.018
4. Forest cover dataset,GaussianCopula,MLP,0,0.372,0.05292552419306881,2,0.372 ± 0.053
4. Forest cover dataset,GaussianCopula,Naive Bayes,0,0.402,0.04151305015694864,2,0.402 ± 0.042
4. Forest cover dataset,GaussianCopula,Random Forest,0,0.5085000000000001,0.03416056856149273,2,0.509 ± 0.034
4. Forest cover dataset,GaussianCopula,SVM-RBF,0,0.538,0.01531157877047448,2,0.538 ± 0.015
4. Forest cover dataset,TVAE,AdaBoost,0,0.336,0.06410928169929843,2,0.336 ± 0.064
4. Forest cover dataset,TVAE,Decision Tree,0,0.3435,0.04441283598240491,2,0.344 ± 0.044
4. Forest cover dataset,TVAE,Extra Trees,0,0.3805000000000001,0.02976295236251494,2,0.381 ± 0.030
4. Forest cover dataset,TVAE,Gradient Boosting,0,0.33,0.04714045207910316,2,0.330 ± 0.047
4. Forest cover dataset,TVAE,KNN,0,0.4245,0.01606410768002865,2,0.424 ± 0.016
4. Forest cover dataset,TVAE,Logistic Regression,0,0.423,0.04230839160261236,2,0.423 ± 0.042
4. Forest cover dataset,TVAE,MLP,0,0.361,0.06715653356152326,2,0.361 ± 0.067
4. Forest cover dataset,TVAE,Naive Bayes,0,0.402,0.02770880325416054,2,0.402 ± 0.028
4. Forest cover dataset,TVAE,Random Forest,0,0.385,0.03800584750330461,2,0.385 ± 0.038
4. Forest cover dataset,TVAE,SVM-RBF,0,0.441,0.04221637386396684,2,0.441 ± 0.042
4. Forest cover dataset,WGAN_GP,AdaBoost,0,0.413,0.05884065110297661,2,0.413 ± 0.059
4. Forest cover dataset,WGAN_GP,Decision Tree,0,0.358,0.02428991560298225,2,0.358 ± 0.024
4. Forest cover dataset,WGAN_GP,Extra Trees,0,0.4145,0.02488305983328148,2,0.414 ± 0.025
4. Forest cover dataset,WGAN_GP,Gradient Boosting,0,0.3965,0.04136893627939798,2,0.397 ± 0.041
4. Forest cover dataset,WGAN_GP,KNN,0,0.4265,0.01958599272723012,2,0.426 ± 0.020
4. Forest cover dataset,WGAN_GP,Logistic Regression,0,0.4395000000000001,0.02948163270015191,2,0.440 ± 0.029
4. Forest cover dataset,WGAN_GP,MLP,0,0.3805,0.05809235941345663,2,0.381 ± 0.058
4. Forest cover dataset,WGAN_GP,Naive Bayes,0,0.3730000000000001,0.01903213656482694,2,0.373 ± 0.019
4. Forest cover dataset,WGAN_GP,Random Forest,0,0.4165,0.03551603706621685,2,0.416 ± 0.036
4. Forest cover dataset,WGAN_GP,SVM-RBF,0,0.4545,0.0255440795488896,2,0.455 ± 0.026
5. Bank Markting,CTABGAN,AdaBoost,0,0.88895,0.003781901344268219,2,0.889 ± 0.004
5. Bank Markting,CTABGAN,Decision Tree,0,0.5886,0.06133913016084341,2,0.589 ± 0.061
5. Bank Markting,CTABGAN,Extra Trees,0,0.88365,0.001901023116347849,2,0.884 ± 0.002
5. Bank Markting,CTABGAN,Gradient Boosting,0,0.84185,0.0326130938257763,2,0.842 ± 0.033
5. Bank Markting,CTABGAN,KNN,0,0.8771999999999999,0.0019465068427542,2,0.877 ± 0.002
5. Bank Markting,CTABGAN,Logistic Regression,0,0.88795,0.001403368962334719,2,0.888 ± 0.001
5. Bank Markting,CTABGAN,MLP,0,0.8812999999999999,0.004922736366425996,2,0.881 ± 0.005
5. Bank Markting,CTABGAN,Naive Bayes,0,0.8589,0.007640535176136424,2,0.859 ± 0.008
5. Bank Markting,CTABGAN,Random Forest,0,0.8843499999999999,0.004830746434156015,2,0.884 ± 0.005
5. Bank Markting,CTABGAN,SVM-RBF,0,0.8877,0.00188856206322872,2,0.888 ± 0.002
5. Bank Markting,CTGAN,AdaBoost,0,0.8764,0.003942644346684622,2,0.876 ± 0.004
5. Bank Markting,CTGAN,Decision Tree,0,0.74065,0.01014902841545817,2,0.741 ± 0.010
5. Bank Markting,CTGAN,Extra Trees,0,0.8119500000000001,0.009973436942420815,2,0.812 ± 0.010
5. Bank Markting,CTGAN,Gradient Boosting,0,0.8734,0.006389227044191022,2,0.873 ± 0.006
5. Bank Markting,CTGAN,KNN,0,0.82005,0.01059992138335625,2,0.820 ± 0.011
5. Bank Markting,CTGAN,Logistic Regression,0,0.8782,0.00335161652539983,2,0.878 ± 0.003
5. Bank Markting,CTGAN,MLP,0,0.8330500000000001,0.01560528756543755,2,0.833 ± 0.016
5. Bank Markting,CTGAN,Naive Bayes,0,0.7481499999999999,0.0201439955211362,2,0.748 ± 0.020
5. Bank Markting,CTGAN,Random Forest,0,0.83535,0.007149397799037976,2,0.835 ± 0.007
5. Bank Markting,CTGAN,SVM-RBF,0,0.8792,0.003895866755649866,2,0.879 ± 0.004
5. Bank Markting,CopulaGAN,AdaBoost,0,0.8741,0.004427188724235699,2,0.874 ± 0.004
5. Bank Markting,CopulaGAN,Decision Tree,0,0.79735,0.008828772407431415,2,0.797 ± 0.009
5. Bank Markting,CopulaGAN,Extra Trees,0,0.8619,0.00240138848724373,2,0.862 ± 0.002
5. Bank Markting,CopulaGAN,Gradient Boosting,0,0.87485,0.004069193204227725,2,0.875 ± 0.004
5. Bank Markting,CopulaGAN,KNN,0,0.8631500000000001,0.002646276209653449,2,0.863 ± 0.003
5. Bank Markting,CopulaGAN,Logistic Regression,0,0.8743000000000001,0.005271516754112495,2,0.874 ± 0.005
5. Bank Markting,CopulaGAN,MLP,0,0.84285,0.01560457553981455,2,0.843 ± 0.016
5. Bank Markting,CopulaGAN,Naive Bayes,0,0.80615,0.00844278126896317,2,0.806 ± 0.008
5. Bank Markting,CopulaGAN,Random Forest,0,0.8720500000000001,0.003483692166525487,2,0.872 ± 0.003
5. Bank Markting,CopulaGAN,SVM-RBF,0,0.8797,0.00359165699921359,2,0.880 ± 0.004
5. Bank Markting,ForestDiffusion,AdaBoost,0,0.8886000000000001,0.003272783388968956,2,0.889 ± 0.003
5. Bank Markting,ForestDiffusion,Decision Tree,0,0.8111,0.01806439100059069,2,0.811 ± 0.018
5. Bank Markting,ForestDiffusion,Extra Trees,0,0.8929,0.005985166849990251,2,0.893 ± 0.006
5. Bank Markting,ForestDiffusion,Gradient Boosting,0,0.8887,0.005154286242213062,2,0.889 ± 0.005
5. Bank Markting,ForestDiffusion,KNN,0,0.8830499999999999,0.007255074852205915,2,0.883 ± 0.007
5. Bank Markting,ForestDiffusion,Logistic Regression,0,0.88795,0.002266298989787349,2,0.888 ± 0.002
5. Bank Markting,ForestDiffusion,MLP,0,0.8820499999999999,0.005474435536605066,2,0.882 ± 0.005
5. Bank Markting,ForestDiffusion,Naive Bayes,0,0.8449,0.007054549359574058,2,0.845 ± 0.007
5. Bank Markting,ForestDiffusion,Random Forest,0,0.8869499999999999,0.006664374605984344,2,0.887 ± 0.007
5. Bank Markting,ForestDiffusion,SVM-RBF,0,0.8889999999999999,0.002943920288775945,2,0.889 ± 0.003
5. Bank Markting,GaussianCopula,AdaBoost,0,0.8795,0.0,2,0.879 ± 0.000
5. Bank Markting,GaussianCopula,Decision Tree,0,0.7673,0.0171888206563323,2,0.767 ± 0.017
5. Bank Markting,GaussianCopula,Extra Trees,0,0.8684000000000001,0.001329160135825125,2,0.868 ± 0.001
5. Bank Markting,GaussianCopula,Gradient Boosting,0,0.8686499999999999,0.008547416763755766,2,0.869 ± 0.009
5. Bank Markting,GaussianCopula,KNN,0,0.87105,0.002871797733515065,2,0.871 ± 0.003
5. Bank Markting,GaussianCopula,Logistic Regression,0,0.8798499999999999,0.0005296749527356842,2,0.880 ± 0.001
5. Bank Markting,GaussianCopula,MLP,0,0.8379,0.02928196259360589,2,0.838 ± 0.029
5. Bank Markting,GaussianCopula,Naive Bayes,0,0.7927500000000001,0.01217294358631287,2,0.793 ± 0.012
5. Bank Markting,GaussianCopula,Random Forest,0,0.8773500000000001,0.001131616346451198,2,0.877 ± 0.001
5. Bank Markting,GaussianCopula,SVM-RBF,0,0.8795,0.0,2,0.879 ± 0.000
5. Bank Markting,TVAE,AdaBoost,0,0.8782500000000001,0.002288255036290997,2,0.878 ± 0.002
5. Bank Markting,TVAE,Decision Tree,0,0.8602000000000001,0.004613988392799545,2,0.860 ± 0.005
5. Bank Markting,TVAE,Extra Trees,0,0.8713500000000002,0.003901922603025313,2,0.871 ± 0.004
5. Bank Markting,TVAE,Gradient Boosting,0,0.87625,0.003653385036130484,2,0.876 ± 0.004
5. Bank Markting,TVAE,KNN,0,0.8696999999999999,0.01279366162510866,2,0.870 ± 0.013
5. Bank Markting,TVAE,Logistic Regression,0,0.8346,0.005227066311251671,2,0.835 ± 0.005
5. Bank Markting,TVAE,MLP,0,0.8495000000000001,0.004515405728048043,2,0.850 ± 0.005
5. Bank Markting,TVAE,Naive Bayes,0,0.65925,0.01051520063738417,2,0.659 ± 0.011
5. Bank Markting,TVAE,Random Forest,0,0.8744999999999999,0.003214550253664294,2,0.874 ± 0.003
5. Bank Markting,TVAE,SVM-RBF,0,0.87935,0.002906410539174097,2,0.879 ± 0.003
5. Bank Markting,TabDDPM,AdaBoost,0,0.8795,0.0,2,0.879 ± 0.000
5. Bank Markting,TabDDPM,Decision Tree,0,0.70895,0.08085290141155521,2,0.709 ± 0.081
5. Bank Markting,TabDDPM,Extra Trees,0,0.87645,0.001935774321097921,2,0.876 ± 0.002
5. Bank Markting,TabDDPM,Gradient Boosting,0,0.87585,0.005302253189813613,2,0.876 ± 0.005
5. Bank Markting,TabDDPM,KNN,0,0.8726499999999999,0.005436757612155723,2,0.873 ± 0.005
5. Bank Markting,TabDDPM,Logistic Regression,0,0.8795,0.0,2,0.879 ± 0.000
5. Bank Markting,TabDDPM,MLP,0,0.8526,0.05541550124087824,2,0.853 ± 0.055
5. Bank Markting,TabDDPM,Naive Bayes,0,0.8525500000000001,0.05086389791503508,2,0.853 ± 0.051
5. Bank Markting,TabDDPM,Random Forest,0,0.8794000000000001,0.0002108185106778687,2,0.879 ± 0.000
5. Bank Markting,TabDDPM,SVM-RBF,0,0.8795,0.0,2,0.879 ± 0.000
5. Bank Markting,WGAN_GP,AdaBoost,0,0.8797499999999999,0.0005892556509887979,2,0.880 ± 0.001
5. Bank Markting,WGAN_GP,Decision Tree,0,0.7436,0.04540056289420992,2,0.744 ± 0.045
5. Bank Markting,WGAN_GP,Extra Trees,0,0.8773,0.001512907429054691,2,0.877 ± 0.002
5. Bank Markting,WGAN_GP,Gradient Boosting,0,0.8791499999999999,0.00151015083867657,2,0.879 ± 0.002
5. Bank Markting,WGAN_GP,KNN,0,0.8642000000000001,0.003284644408286659,2,0.864 ± 0.003
5. Bank Markting,WGAN_GP,Logistic Regression,0,0.8795,0.0,2,0.879 ± 0.000
5. Bank Markting,WGAN_GP,MLP,0,0.8734,0.002685351208149686,2,0.873 ± 0.003
5. Bank Markting,WGAN_GP,Naive Bayes,0,0.8662000000000001,0.003735713526965847,2,0.866 ± 0.004
5. Bank Markting,WGAN_GP,Random Forest,0,0.87965,0.0004743416490252541,2,0.880 ± 0.000
5. Bank Markting,WGAN_GP,SVM-RBF,0,0.8795,0.0,2,0.879 ± 0.000
6. Wine dataset,CTABGAN,AdaBoost,0,0.419,0.03849963924794909,2,0.419 ± 0.038
6. Wine dataset,CTABGAN,Decision Tree,0,0.3215,0.02539138086481753,2,0.322 ± 0.025
6. Wine dataset,CTABGAN,Extra Trees,0,0.434,0.02458545188611437,2,0.434 ± 0.025
6. Wine dataset,CTABGAN,Gradient Boosting,0,0.4075,0.03181980515339463,2,0.407 ± 0.032
6. Wine dataset,CTABGAN,KNN,0,0.4015,0.02667187449147301,2,0.402 ± 0.027
6. Wine dataset,CTABGAN,Logistic Regression,0,0.462,0.005868938953886325,2,0.462 ± 0.006
6. Wine dataset,CTABGAN,MLP,0,0.348,0.0286937856222098,2,0.348 ± 0.029
6. Wine dataset,CTABGAN,Naive Bayes,0,0.408,0.03895866755649863,2,0.408 ± 0.039
6. Wine dataset,CTABGAN,Random Forest,0,0.4235,0.0282891812850386,2,0.423 ± 0.028
6. Wine dataset,CTABGAN,SVM-RBF,0,0.4600000000000001,0.007453559924999294,2,0.460 ± 0.007
6. Wine dataset,CTGAN,AdaBoost,0,0.292,0.03128720008068617,2,0.292 ± 0.031
6. Wine dataset,CTGAN,Decision Tree,0,0.2235,0.02799305469417568,2,0.224 ± 0.028
6. Wine dataset,CTGAN,Extra Trees,0,0.2645,0.02510533365199072,2,0.265 ± 0.025
6. Wine dataset,CTGAN,Gradient Boosting,0,0.238,0.01828782229912694,2,0.238 ± 0.018
6. Wine dataset,CTGAN,KNN,0,0.2165,0.02108843811718217,2,0.216 ± 0.021
6. Wine dataset,CTGAN,Logistic Regression,0,0.322,0.03591656999213595,2,0.322 ± 0.036
6. Wine dataset,CTGAN,MLP,0,0.1745,0.02929258533410043,2,0.174 ± 0.029
6. Wine dataset,CTGAN,Naive Bayes,0,0.2715,0.02867926079939998,2,0.272 ± 0.029
6. Wine dataset,CTGAN,Random Forest,0,0.2675,0.02840676758176552,2,0.268 ± 0.028
6. Wine dataset,CTGAN,SVM-RBF,0,0.2615,0.02838720368992574,2,0.262 ± 0.028
6. Wine dataset,CopulaGAN,AdaBoost,0,0.3415,0.0344036496771943,2,0.342 ± 0.034
6. Wine dataset,CopulaGAN,Decision Tree,0,0.2165,0.03916134715648979,2,0.216 ± 0.039
6. Wine dataset,CopulaGAN,Extra Trees,0,0.351,0.03053231439347863,2,0.351 ± 0.031
6. Wine dataset,CopulaGAN,Gradient Boosting,0,0.2905,0.03601311489505516,2,0.290 ± 0.036
6. Wine dataset,CopulaGAN,KNN,0,0.2885000000000001,0.02483836638034885,2,0.289 ± 0.025
6. Wine dataset,CopulaGAN,Logistic Regression,0,0.3225,0.02058181505871412,2,0.323 ± 0.021
6. Wine dataset,CopulaGAN,MLP,0,0.2145,0.0394017766096911,2,0.214 ± 0.039
6. Wine dataset,CopulaGAN,Naive Bayes,0,0.237,0.02551687894533952,2,0.237 ± 0.026
6. Wine dataset,CopulaGAN,Random Forest,0,0.3345,0.03609016486523718,2,0.335 ± 0.036
6. Wine dataset,CopulaGAN,SVM-RBF,0,0.323,0.03513466158147029,2,0.323 ± 0.035
6. Wine dataset,ForestDiffusion,Decision Tree,0,0.5425000000000001,0.04411160089288681,2,0.543 ± 0.044
6. Wine dataset,ForestDiffusion,Extra Trees,0,0.6725,0.06985103196565293,2,0.672 ± 0.070
6. Wine dataset,ForestDiffusion,Gradient Boosting,0,0.611,0.05591660457025861,2,0.611 ± 0.056
6. Wine dataset,ForestDiffusion,KNN,0,0.5880000000000001,0.0483735464897913,2,0.588 ± 0.048
6. Wine dataset,ForestDiffusion,Logistic Regression,0,0.5255,0.03897648863952045,2,0.525 ± 0.039
6. Wine dataset,ForestDiffusion,MLP,0,0.599,0.07026932316294059,2,0.599 ± 0.070
6. Wine dataset,ForestDiffusion,Naive Bayes,0,0.413,0.03780064667289289,2,0.413 ± 0.038
6. Wine dataset,ForestDiffusion,Random Forest,0,0.6525000000000001,0.06460349147771435,2,0.653 ± 0.065
6. Wine dataset,ForestDiffusion,SVM-RBF,0,0.587,0.03343318378165289,2,0.587 ± 0.033
6. Wine dataset,GaussianCopula,AdaBoost,0,0.402,0.04541169697580374,2,0.402 ± 0.045
6. Wine dataset,GaussianCopula,Decision Tree,0,0.326,0.03116265571338731,2,0.326 ± 0.031
6. Wine dataset,GaussianCopula,Extra Trees,0,0.4269999999999999,0.02658320271650251,2,0.427 ± 0.027
6. Wine dataset,GaussianCopula,Gradient Boosting,0,0.415,0.01748014746950252,2,0.415 ± 0.017
6. Wine dataset,GaussianCopula,KNN,0,0.385,0.03965125751123439,2,0.385 ± 0.040
6. Wine dataset,GaussianCopula,Logistic Regression,0,0.4465,0.01528434202414717,2,0.447 ± 0.015
6. Wine dataset,GaussianCopula,MLP,0,0.3445,0.03427422095718912,2,0.344 ± 0.034
6. Wine dataset,GaussianCopula,Naive Bayes,0,0.4065,0.02656752403468064,2,0.406 ± 0.027
6. Wine dataset,GaussianCopula,Random Forest,0,0.425,0.0209496751499609,2,0.425 ± 0.021
6. Wine dataset,GaussianCopula,SVM-RBF,0,0.444,0.01100504934614613,2,0.444 ± 0.011
6. Wine dataset,TVAE,AdaBoost,0,0.4855,0.0334539484465835,2,0.485 ± 0.033
6. Wine dataset,TVAE,Decision Tree,0,0.4585,0.03464502529624964,2,0.459 ± 0.035
6. Wine dataset,TVAE,Extra Trees,0,0.5065,0.02249073883475895,2,0.506 ± 0.022
6. Wine dataset,TVAE,Gradient Boosting,0,0.4949999999999999,0.02808716591058787,2,0.495 ± 0.028
6. Wine dataset,TVAE,KNN,0,0.4865,0.03018921809005476,2,0.486 ± 0.030
6. Wine dataset,TVAE,Logistic Regression,0,0.4989999999999999,0.01926424436906654,2,0.499 ± 0.019
6. Wine dataset,TVAE,MLP,0,0.504,0.02118699810942762,2,0.504 ± 0.021
6. Wine dataset,TVAE,Naive Bayes,0,0.4705,0.04474930167052889,2,0.470 ± 0.045
6. Wine dataset,TVAE,Random Forest,0,0.5055000000000001,0.01499073788117925,2,0.506 ± 0.015
6. Wine dataset,TVAE,SVM-RBF,0,0.493,0.0207096327560121,2,0.493 ± 0.021
6. Wine dataset,TabDDPM,Decision Tree,0,0.3125000000000001,0.03529636430757895,2,0.313 ± 0.035
6. Wine dataset,TabDDPM,Extra Trees,0,0.4425000000000001,0.03002313922441971,2,0.443 ± 0.030
6. Wine dataset,TabDDPM,Gradient Boosting,0,0.4025,0.03259601202601325,2,0.403 ± 0.033
6. Wine dataset,TabDDPM,KNN,0,0.398,0.03326659986633241,2,0.398 ± 0.033
6. Wine dataset,TabDDPM,Logistic Regression,0,0.4695,0.02153163047962487,2,0.469 ± 0.022
6. Wine dataset,TabDDPM,MLP,0,0.388,0.03409138046812159,2,0.388 ± 0.034
6. Wine dataset,TabDDPM,Naive Bayes,0,0.259,0.04427188724235732,2,0.259 ± 0.044
6. Wine dataset,TabDDPM,Random Forest,0,0.437,0.0216281709300111,2,0.437 ± 0.022
6. Wine dataset,TabDDPM,SVM-RBF,0,0.4600000000000001,0.003333333333333337,2,0.460 ± 0.003
6. Wine dataset,WGAN_GP,AdaBoost,0,0.409,0.04306326095924975,2,0.409 ± 0.043
6. Wine dataset,WGAN_GP,Decision Tree,0,0.3555,0.03554730807123251,2,0.355 ± 0.036
6. Wine dataset,WGAN_GP,Extra Trees,0,0.48,0.0298142396999972,2,0.480 ± 0.030
6. Wine dataset,WGAN_GP,Gradient Boosting,0,0.4305,0.03593589972282437,2,0.430 ± 0.036
6. Wine dataset,WGAN_GP,KNN,0,0.413,0.02428991560298224,2,0.413 ± 0.024
6. Wine dataset,WGAN_GP,Logistic Regression,0,0.4555000000000001,0.0491285162722335,2,0.456 ± 0.049
6. Wine dataset,WGAN_GP,MLP,0,0.3724999999999999,0.03199392303408744,2,0.372 ± 0.032
6. Wine dataset,WGAN_GP,Naive Bayes,0,0.3789999999999999,0.03016620625799671,2,0.379 ± 0.030
6. Wine dataset,WGAN_GP,Random Forest,0,0.4635,0.03000462927246024,2,0.464 ± 0.030
6. Wine dataset,WGAN_GP,SVM-RBF,0,0.4765,0.02667187449147302,2,0.476 ± 0.027
7. CDC diabetes dataset,CTABGAN,AdaBoost,0,0.2795199545519103,0.01869016537177591,2,0.280 ± 0.019
7. CDC diabetes dataset,CTABGAN,Decision Tree,0,0.3746058798466126,0.02433496152375183,2,0.375 ± 0.024
7. CDC diabetes dataset,CTABGAN,Extra Trees,0,0.2278937650901861,0.009027312737663929,2,0.228 ± 0.009
7. CDC diabetes dataset,CTABGAN,Gradient Boosting,0,0.1931543814799034,0.01417964354295058,2,0.193 ± 0.014
7. CDC diabetes dataset,CTABGAN,KNN,0,0.251967050134924,0.008115213173614397,2,0.252 ± 0.008
7. CDC diabetes dataset,CTABGAN,Logistic Regression,0,0.2569663400085215,0.009204520259764428,2,0.257 ± 0.009
7. CDC diabetes dataset,CTABGAN,MLP,0,0.3077687828433461,0.01686325192982109,2,0.308 ± 0.017
7. CDC diabetes dataset,CTABGAN,Naive Bayes,0,0.5473086209345264,0.02737016933343622,2,0.547 ± 0.027
7. CDC diabetes dataset,CTABGAN,Random Forest,0,0.2000710126402499,0.01467129396831326,2,0.200 ± 0.015
7. CDC diabetes dataset,CTABGAN,SVM-RBF,0,0.2268995881266866,0.009133937188994318,2,0.227 ± 0.009
7. CDC diabetes dataset,CTGAN,AdaBoost,0,0.05162618946172418,0.01877230931161812,2,0.052 ± 0.019
7. CDC diabetes dataset,CTGAN,Decision Tree,0,0.2325948018747337,0.03316769562348725,2,0.233 ± 0.033
7. CDC diabetes dataset,CTGAN,Extra Trees,0,0.06322965487856838,0.009249717375026318,2,0.063 ± 0.009
7. CDC diabetes dataset,CTGAN,Gradient Boosting,0,0.02949865075983525,0.009889702763768824,2,0.029 ± 0.010
7. CDC diabetes dataset,CTGAN,KNN,0,0.1032097713392984,0.01032789441967396,2,0.103 ± 0.010
7. CDC diabetes dataset,CTGAN,Logistic Regression,0,0.05458031529612271,0.007519041551931992,2,0.055 ± 0.008
7. CDC diabetes dataset,CTGAN,MLP,0,0.1081664536287459,0.01156912514484226,2,0.108 ± 0.012
7. CDC diabetes dataset,CTGAN,Naive Bayes,0,0.4404772049424798,0.02846869734702603,2,0.440 ± 0.028
7. CDC diabetes dataset,CTGAN,Random Forest,0,0.02910097997443545,0.007082904828883541,2,0.029 ± 0.007
7. CDC diabetes dataset,CTGAN,SVM-RBF,0,0.0247976139752876,0.008934327145043419,2,0.025 ± 0.009
7. CDC diabetes dataset,CopulaGAN,AdaBoost,0,0.3071296690810964,0.01947417273302633,2,0.307 ± 0.019
7. CDC diabetes dataset,CopulaGAN,Decision Tree,0,0.3867916489135066,0.02833112093419404,2,0.387 ± 0.028
7. CDC diabetes dataset,CopulaGAN,Extra Trees,0,0.2838943331913081,0.0216559866412597,2,0.284 ± 0.022
7. CDC diabetes dataset,CopulaGAN,Gradient Boosting,0,0.2472802158784264,0.03303438720737779,2,0.247 ± 0.033
7. CDC diabetes dataset,CopulaGAN,KNN,0,0.2731004118733135,0.02125273909274164,2,0.273 ± 0.021
7. CDC diabetes dataset,CopulaGAN,Logistic Regression,0,0.3051839227382474,0.02950407621468782,2,0.305 ± 0.030
7. CDC diabetes dataset,CopulaGAN,MLP,0,0.3462150262746769,0.02180076952692113,2,0.346 ± 0.022
7. CDC diabetes dataset,CopulaGAN,Naive Bayes,0,0.6049424797613975,0.01107126917136316,2,0.605 ± 0.011
7. CDC diabetes dataset,CopulaGAN,Random Forest,0,0.2561852009657719,0.02370510426504031,2,0.256 ± 0.024
7. CDC diabetes dataset,CopulaGAN,SVM-RBF,0,0.2632722624627183,0.02464096049651428,2,0.263 ± 0.025
7. CDC diabetes dataset,ForestDiffusion,AdaBoost,0,0.2357619656298821,0.05021098864555093,2,0.236 ± 0.050
7. CDC diabetes dataset,ForestDiffusion,Decision Tree,0,0.3313733844624343,0.02846916497887783,2,0.331 ± 0.028
7. CDC diabetes dataset,ForestDiffusion,Extra Trees,0,0.1306632580599347,0.01363324333261546,2,0.131 ± 0.014
7. CDC diabetes dataset,ForestDiffusion,Gradient Boosting,0,0.1538985939497231,0.01868074662662275,2,0.154 ± 0.019
7. CDC diabetes dataset,ForestDiffusion,KNN,0,0.168115324527766,0.01152280256385812,2,0.168 ± 0.012
7. CDC diabetes dataset,ForestDiffusion,Logistic Regression,0,0.1914642806419543,0.01030959740478241,2,0.191 ± 0.010
7. CDC diabetes dataset,ForestDiffusion,MLP,0,0.2322965487856838,0.01168656640890678,2,0.232 ± 0.012
7. CDC diabetes dataset,ForestDiffusion,Naive Bayes,0,0.9553756568669224,0.005611274864304836,2,0.955 ± 0.006
7. CDC diabetes dataset,ForestDiffusion,Random Forest,0,0.1295128532878853,0.01107295433695692,2,0.130 ± 0.011
7. CDC diabetes dataset,ForestDiffusion,SVM-RBF,0,0.1246129811106377,0.01208270422522765,2,0.125 ± 0.012
7. CDC diabetes dataset,GaussianCopula,AdaBoost,0,0.0,0.0,2,0.000 ± 0.000
7. CDC diabetes dataset,GaussianCopula,Decision Tree,0,0.2443402925720778,0.04682382877925451,2,0.244 ± 0.047
7. CDC diabetes dataset,GaussianCopula,Extra Trees,0,0.009615111489845191,0.002121888110859017,2,0.010 ± 0.002
7. CDC diabetes dataset,GaussianCopula,Gradient Boosting,0,0.01758272972589121,0.01065015371822589,2,0.018 ± 0.011
7. CDC diabetes dataset,GaussianCopula,KNN,0,0.02185769066893907,0.002439736378186531,2,0.022 ± 0.002
7. CDC diabetes dataset,GaussianCopula,Logistic Regression,0,0.02361880414713819,0.02719263435978542,2,0.024 ± 0.027
7. CDC diabetes dataset,GaussianCopula,MLP,0,0.07253231075131372,0.02198283881624302,2,0.073 ± 0.022
7. CDC diabetes dataset,GaussianCopula,Naive Bayes,0,0.2077119727311461,0.05524952269258118,2,0.208 ± 0.055
7. CDC diabetes dataset,GaussianCopula,Random Forest,0,0.002073569095298963,0.001384582599852741,2,0.002 ± 0.001
7. CDC diabetes dataset,GaussianCopula,SVM-RBF,0,0.001789518534299105,0.003768998808070262,2,0.002 ± 0.004
7. CDC diabetes dataset,TVAE,AdaBoost,0,0.2573072006817213,0.01412463371552337,2,0.257 ± 0.014
7. CDC diabetes dataset,TVAE,Decision Tree,0,0.3070018463286465,0.02383141886603606,2,0.307 ± 0.024
7. CDC diabetes dataset,TVAE,Extra Trees,0,0.1557023150120722,0.01830992317810021,2,0.156 ± 0.018
7. CDC diabetes dataset,TVAE,Gradient Boosting,0,0.2258059934668371,0.01953469320409679,2,0.226 ± 0.020
7. CDC diabetes dataset,TVAE,KNN,0,0.2514841641812243,0.02781368861519266,2,0.251 ± 0.028
7. CDC diabetes dataset,TVAE,Logistic Regression,0,0.3289021445817356,0.02094743375572383,2,0.329 ± 0.021
7. CDC diabetes dataset,TVAE,MLP,0,0.3494532026700752,0.02857711346915013,2,0.349 ± 0.029
