Dataset,Generator,Classifier,Leakage,Mean,Std,N,Mean_SD
1. Cancer,TVAE,Decision Tree,0,0.9047619047619048,0.0464133064038522,2,0.905 ± 0.046
1. Cancer,TVAE,Extra Trees,0,0.9238095238095237,0.03499271061118826,2,0.924 ± 0.035
1. Cancer,TVAE,Gradient Boosting,0,0.95,0.01977767586409063,2,0.950 ± 0.020
1. Cancer,TVAE,KNN,0,0.8404761904761904,0.0384654629081036,2,0.840 ± 0.038
1. Cancer,TVAE,Logistic Regression,0,0.9523809523809523,0.02608202654786504,2,0.952 ± 0.026
1. Cancer,TVAE,MLP,0,0.9333333333333333,0.02332847374079215,2,0.933 ± 0.023
1. Cancer,TVAE,Naive Bayes,0,0.9595238095238094,0.02827224306437599,2,0.960 ± 0.028
1. Cancer,TVAE,Random Forest,0,0.9595238095238094,0.02827224306437599,2,0.960 ± 0.028
1. Cancer,TVAE,SVM-RBF,0,0.9285714285714286,0.03839170356332643,2,0.929 ± 0.038
1. Cancer,TabDDPM,AdaBoost,0,0.4309523809523809,0.4202161737166494,2,0.431 ± 0.420
1. Cancer,TabDDPM,Decision Tree,0,0.2761904761904762,0.3517368630975121,2,0.276 ± 0.352
1. Cancer,TabDDPM,Extra Trees,0,0.7428571428571429,0.3756777699679242,2,0.743 ± 0.376
1. Cancer,TabDDPM,Gradient Boosting,0,0.2595238095238095,0.2415112096758512,2,0.260 ± 0.242
1. Cancer,TabDDPM,KNN,0,0.3642857142857143,0.1666836726017822,2,0.364 ± 0.167
1. Cancer,TabDDPM,Logistic Regression,0,0.05476190476190475,0.08454895668840334,2,0.055 ± 0.085
1. Cancer,TabDDPM,MLP,0,0.5809523809523809,0.2274276940239915,2,0.581 ± 0.227
1. Cancer,TabDDPM,Naive Bayes,0,0.9238095238095237,0.1895214165917372,2,0.924 ± 0.190
1. Cancer,TabDDPM,Random Forest,0,0.3119047619047619,0.3424683642307216,2,0.312 ± 0.342
1. Cancer,TabDDPM,SVM-RBF,0,0.01428571428571429,0.03563483225498992,2,0.014 ± 0.036
1. Cancer,WGAN_GP,AdaBoost,0,0.8642857142857142,0.04885305840162663,2,0.864 ± 0.049
1. Cancer,WGAN_GP,Decision Tree,0,0.8142857142857143,0.06459361888690732,2,0.814 ± 0.065
1. Cancer,WGAN_GP,Extra Trees,0,0.8642857142857142,0.043967107887189,2,0.864 ± 0.044
1. Cancer,WGAN_GP,Gradient Boosting,0,0.8642857142857142,0.04647433641891222,2,0.864 ± 0.046
1. Cancer,WGAN_GP,KNN,0,0.8523809523809524,0.04364357804719846,2,0.852 ± 0.044
1. Cancer,WGAN_GP,Logistic Regression,0,0.8976190476190476,0.03539540177932976,2,0.898 ± 0.035
1. Cancer,WGAN_GP,MLP,0,0.8761904761904761,0.04616837959444122,2,0.876 ± 0.046
1. Cancer,WGAN_GP,Naive Bayes,0,0.869047619047619,0.05558389299966071,2,0.869 ± 0.056
1. Cancer,WGAN_GP,Random Forest,0,0.8571428571428571,0.04879500364742666,2,0.857 ± 0.049
1. Cancer,WGAN_GP,SVM-RBF,0,0.8642857142857142,0.06121409586753541,2,0.864 ± 0.061
2. Alzhimers,CTABGAN,AdaBoost,0,0.918918918918919,0.03418678551533384,2,0.919 ± 0.034
2. Alzhimers,CTABGAN,Decision Tree,0,0.5405405405405406,0.0928408866882036,2,0.541 ± 0.093
2. Alzhimers,CTABGAN,Extra Trees,0,0.9216216216216218,0.04594594594594596,2,0.922 ± 0.046
2. Alzhimers,CTABGAN,Gradient Boosting,0,0.6891891891891891,0.144664039903488,2,0.689 ± 0.145
2. Alzhimers,CTABGAN,KNN,0,0.8918918918918919,0.06620242548062645,2,0.892 ± 0.066
2. Alzhimers,CTABGAN,Logistic Regression,0,0.9243243243243244,0.03783783783783785,2,0.924 ± 0.038
2. Alzhimers,CTABGAN,MLP,0,0.8567567567567569,0.06842696703336304,2,0.857 ± 0.068
2. Alzhimers,CTABGAN,Naive Bayes,0,0.8378378378378379,0.05921324946001796,2,0.838 ± 0.059
2. Alzhimers,CTABGAN,Random Forest,0,0.8405405405405405,0.05465877950312616,2,0.841 ± 0.055
2. Alzhimers,CTABGAN,SVM-RBF,0,0.8864864864864865,0.05099449260571139,2,0.886 ± 0.051
2. Alzhimers,CTGAN,AdaBoost,0,0.6297297297297296,0.1054054054054054,2,0.630 ± 0.105
2. Alzhimers,CTGAN,Decision Tree,0,0.5513513513513514,0.1102490705641683,2,0.551 ± 0.110
2. Alzhimers,CTGAN,Extra Trees,0,0.6162162162162163,0.10025533508644,2,0.616 ± 0.100
2. Alzhimers,CTGAN,Gradient Boosting,0,0.6243243243243244,0.0985282493705848,2,0.624 ± 0.099
2. Alzhimers,CTGAN,KNN,0,0.6108108108108109,0.07272229214634439,2,0.611 ± 0.073
2. Alzhimers,CTGAN,Logistic Regression,0,0.7405405405405405,0.05156428115767275,2,0.741 ± 0.052
