Generator,AdaBoost,Decision Tree,Extra Trees,Gradient Boosting,KNN,Logistic Regression,MLP,Naive Bayes,Random Forest,SVM-RBF
CTABGAN,0.856 ± 0.032,0.669 ± 0.054,0.867 ± 0.018,0.852 ± 0.039,0.845 ± 0.028,0.874 ± 0.029,0.804 ± 0.030,0.839 ± 0.031,0.864 ± 0.031,0.850 ± 0.033
CTGAN,0.707 ± 0.026,0.573 ± 0.075,0.686 ± 0.027,0.680 ± 0.035,0.624 ± 0.036,0.766 ± 0.012,0.718 ± 0.049,0.812 ± 0.034,0.689 ± 0.031,0.706 ± 0.020
CopulaGAN,0.520 ± 0.069,0.434 ± 0.128,0.394 ± 0.070,0.390 ± 0.082,0.473 ± 0.044,0.399 ± 0.044,0.315 ± 0.087,0.466 ± 0.036,0.382 ± 0.054,0.369 ± 0.075
ForestDiffusion,0.968 ± 0.019,0.887 ± 0.035,0.955 ± 0.029,0.962 ± 0.021,0.933 ± 0.027,0.975 ± 0.016,0.960 ± 0.014,0.900 ± 0.031,0.956 ± 0.031,0.967 ± 0.020
GaussianCopula,0.865 ± 0.039,0.620 ± 0.064,0.824 ± 0.048,0.836 ± 0.040,0.758 ± 0.040,0.855 ± 0.052,0.681 ± 0.067,0.864 ± 0.023,0.832 ± 0.055,0.798 ± 0.042
TVAE,0.915 ± 0.029,0.853 ± 0.041,0.922 ± 0.017,0.907 ± 0.026,0.885 ± 0.023,0.935 ± 0.021,0.919 ± 0.019,0.899 ± 0.022,0.923 ± 0.030,0.878 ± 0.029
TabDDPM,0.271 ± 0.236,0.216 ± 0.209,0.451 ± 0.228,0.229 ± 0.170,0.250 ± 0.088,0.072 ± 0.092,0.487 ± 0.092,0.568 ± 0.057,0.262 ± 0.213,0.023 ± 0.057
WGAN_GP,0.917 ± 0.028,0.862 ± 0.047,0.924 ± 0.027,0.916 ± 0.028,0.912 ± 0.026,0.929 ± 0.025,0.918 ± 0.030,0.902 ± 0.029,0.920 ± 0.032,0.923 ± 0.038
