Generator,AdaBoost,Decision Tree,Extra Trees,Gradient Boosting,KNN,Logistic Regression,MLP,Naive Bayes,Random Forest,SVM-RBF
CTABGAN,0.798 ± 0.056,0.664 ± 0.064,0.833 ± 0.045,0.790 ± 0.047,0.788 ± 0.042,0.829 ± 0.056,0.755 ± 0.051,0.776 ± 0.049,0.817 ± 0.043,0.800 ± 0.049
CTGAN,0.900 ± 0.074,0.667 ± 0.146,0.881 ± 0.053,0.874 ± 0.056,0.867 ± 0.060,0.926 ± 0.031,0.950 ± 0.046,0.869 ± 0.042,0.857 ± 0.055,0.864 ± 0.030
CopulaGAN,0.760 ± 0.125,0.543 ± 0.194,0.583 ± 0.130,0.540 ± 0.151,0.800 ± 0.086,0.667 ± 0.095,0.481 ± 0.156,0.779 ± 0.075,0.476 ± 0.090,0.602 ± 0.151
ForestDiffusion,0.952 ± 0.035,0.879 ± 0.053,0.921 ± 0.050,0.940 ± 0.036,0.907 ± 0.050,0.952 ± 0.030,0.940 ± 0.024,0.883 ± 0.056,0.926 ± 0.053,0.948 ± 0.035
GaussianCopula,0.793 ± 0.065,0.614 ± 0.052,0.710 ± 0.077,0.779 ± 0.055,0.683 ± 0.063,0.750 ± 0.082,0.664 ± 0.069,0.793 ± 0.046,0.724 ± 0.081,0.674 ± 0.055
TVAE,0.957 ± 0.033,0.905 ± 0.046,0.924 ± 0.035,0.950 ± 0.020,0.840 ± 0.038,0.952 ± 0.026,0.933 ± 0.023,0.960 ± 0.028,0.960 ± 0.028,0.929 ± 0.038
TabDDPM,0.431 ± 0.420,0.276 ± 0.352,0.743 ± 0.376,0.260 ± 0.242,0.364 ± 0.167,0.055 ± 0.085,0.581 ± 0.227,0.924 ± 0.190,0.312 ± 0.342,0.014 ± 0.036
WGAN_GP,0.864 ± 0.049,0.814 ± 0.065,0.864 ± 0.044,0.864 ± 0.046,0.852 ± 0.044,0.898 ± 0.035,0.876 ± 0.046,0.869 ± 0.056,0.857 ± 0.049,0.864 ± 0.061
