Generator,Mean_Accuracy,Std,N_Rows,Rank
ForestDiffusion,0.8094620244931464,0.017453454618254816,79,1
TVAE,0.70827408634619,0.019068534164045796,90,2
GaussianCopula,0.6913470623317441,0.02260583314931128,90,3
WGAN_GP,0.6857344472976988,0.020338260271666804,90,4
CTABGAN,0.6731874349957565,0.024992308738432025,90,5
TabDDPM,0.5918119828645183,0.039345738640369034,79,6
CTGAN,0.5889699341332973,0.022891543115863486,90,7
CopulaGAN,0.5457833881897518,0.0262460295705101,90,8
