Generator,AdaBoost,Decision Tree,Extra Trees,Gradient Boosting,KNN,Logistic Regression,MLP,Naive Bayes,Random Forest,SVM-RBF
CTABGAN,0.902 ± 0.020,0.758 ± 0.043,0.906 ± 0.012,0.899 ± 0.026,0.894 ± 0.019,0.912 ± 0.019,0.864 ± 0.025,0.890 ± 0.019,0.905 ± 0.023,0.896 ± 0.022
CTGAN,0.725 ± 0.025,0.642 ± 0.047,0.704 ± 0.027,0.696 ± 0.051,0.614 ± 0.054,0.791 ± 0.013,0.720 ± 0.067,0.852 ± 0.029,0.716 ± 0.027,0.734 ± 0.024
CopulaGAN,0.482 ± 0.100,0.489 ± 0.122,0.347 ± 0.063,0.389 ± 0.071,0.344 ± 0.050,0.263 ± 0.031,0.244 ± 0.067,0.345 ± 0.039,0.434 ± 0.066,0.256 ± 0.045
ForestDiffusion,0.977 ± 0.014,0.918 ± 0.024,0.968 ± 0.020,0.973 ± 0.015,0.953 ± 0.018,0.982 ± 0.011,0.971 ± 0.010,0.928 ± 0.021,0.969 ± 0.021,0.976 ± 0.014
GaussianCopula,0.910 ± 0.024,0.720 ± 0.055,0.890 ± 0.026,0.888 ± 0.028,0.840 ± 0.022,0.908 ± 0.030,0.770 ± 0.053,0.909 ± 0.013,0.894 ± 0.031,0.875 ± 0.022
TVAE,0.934 ± 0.024,0.885 ± 0.033,0.942 ± 0.012,0.928 ± 0.021,0.919 ± 0.016,0.951 ± 0.016,0.939 ± 0.015,0.920 ± 0.018,0.940 ± 0.024,0.904 ± 0.024
TabDDPM,0.475 ± 0.152,0.575 ± 0.128,0.503 ± 0.080,0.489 ± 0.082,0.229 ± 0.048,0.596 ± 0.048,0.581 ± 0.075,0.477 ± 0.140,0.552 ± 0.086,0.620 ± 0.012
WGAN_GP,0.943 ± 0.018,0.904 ± 0.031,0.948 ± 0.018,0.942 ± 0.018,0.939 ± 0.017,0.950 ± 0.017,0.943 ± 0.020,0.931 ± 0.019,0.946 ± 0.021,0.947 ± 0.024
