Generator,AdaBoost,Decision Tree,Extra Trees,Gradient Boosting,KNN,Logistic Regression,MLP,Naive Bayes,Random Forest,SVM-RBF
CTABGAN,0.926 ± 0.022,0.679 ± 0.074,0.907 ± 0.037,0.927 ± 0.053,0.916 ± 0.053,0.928 ± 0.042,0.870 ± 0.079,0.914 ± 0.034,0.921 ± 0.053,0.909 ± 0.037
CTGAN,0.584 ± 0.026,0.514 ± 0.054,0.563 ± 0.026,0.560 ± 0.046,0.490 ± 0.040,0.654 ± 0.019,0.581 ± 0.069,0.765 ± 0.048,0.577 ± 0.026,0.597 ± 0.027
CopulaGAN,0.402 ± 0.067,0.376 ± 0.113,0.299 ± 0.048,0.308 ± 0.057,0.336 ± 0.030,0.284 ± 0.027,0.235 ± 0.060,0.333 ± 0.024,0.322 ± 0.046,0.267 ± 0.048
ForestDiffusion,0.986 ± 0.027,0.898 ± 0.026,0.992 ± 0.012,0.985 ± 0.016,0.963 ± 0.023,1.000 ± 0.000,0.980 ± 0.014,0.920 ± 0.034,0.990 ± 0.016,0.988 ± 0.012
GaussianCopula,0.957 ± 0.042,0.627 ± 0.081,0.991 ± 0.019,0.910 ± 0.065,0.857 ± 0.041,1.000 ± 0.000,0.704 ± 0.087,0.953 ± 0.025,0.984 ± 0.025,0.982 ± 0.018
TVAE,0.880 ± 0.053,0.810 ± 0.056,0.921 ± 0.030,0.869 ± 0.042,0.936 ± 0.036,0.920 ± 0.044,0.906 ± 0.032,0.846 ± 0.032,0.890 ± 0.050,0.835 ± 0.047
TabDDPM,0.234 ± 0.149,0.440 ± 0.291,0.324 ± 0.164,0.228 ± 0.135,0.192 ± 0.058,0.201 ± 0.214,0.481 ± 0.109,0.466 ± 0.189,0.291 ± 0.161,0.070 ± 0.148
WGAN_GP,0.979 ± 0.025,0.917 ± 0.039,0.994 ± 0.011,0.976 ± 0.024,0.982 ± 0.023,0.964 ± 0.023,0.966 ± 0.024,0.940 ± 0.035,0.994 ± 0.012,0.992 ± 0.013
