Generator,AdaBoost,Decision Tree,Extra Trees,Gradient Boosting,KNN,Logistic Regression,MLP,Naive Bayes,Random Forest,SVM-RBF
CTABGAN,0.560 ± 0.008,0.553 ± 0.029,0.563 ± 0.006,0.556 ± 0.008,0.573 ± 0.008,0.576 ± 0.005,0.568 ± 0.009,0.581 ± 0.007,0.565 ± 0.012,0.576 ± 0.004
CTGAN,0.616 ± 0.028,0.582 ± 0.022,0.600 ± 0.015,0.602 ± 0.016,0.556 ± 0.015,0.602 ± 0.015,0.582 ± 0.024,0.619 ± 0.025,0.595 ± 0.019,0.601 ± 0.015
CopulaGAN,0.566 ± 0.005,0.558 ± 0.023,0.567 ± 0.007,0.564 ± 0.004,0.579 ± 0.006,0.557 ± 0.005,0.574 ± 0.010,0.567 ± 0.006,0.567 ± 0.006,0.556 ± 0.004
ForestDiffusion,0.675 ± 0.020,0.798 ± 0.023,0.913 ± 0.004,0.789 ± 0.007,0.887 ± 0.006,0.693 ± 0.005,0.835 ± 0.010,0.747 ± 0.007,0.866 ± 0.006,0.693 ± 0.005
GaussianCopula,0.613 ± 0.009,0.587 ± 0.023,0.623 ± 0.014,0.605 ± 0.011,0.588 ± 0.011,0.592 ± 0.007,0.611 ± 0.007,0.631 ± 0.031,0.612 ± 0.020,0.591 ± 0.007
TVAE,0.639 ± 0.005,0.630 ± 0.014,0.655 ± 0.005,0.630 ± 0.006,0.638 ± 0.013,0.643 ± 0.011,0.652 ± 0.009,0.657 ± 0.024,0.654 ± 0.005,0.639 ± 0.009
TabDDPM,0.529 ± 0.009,0.541 ± 0.027,0.508 ± 0.012,0.528 ± 0.013,0.536 ± 0.009,0.547 ± 0.009,0.528 ± 0.010,0.542 ± 0.007,0.503 ± 0.017,0.547 ± 0.010
WGAN_GP,0.668 ± 0.016,0.656 ± 0.013,0.696 ± 0.008,0.674 ± 0.010,0.687 ± 0.007,0.650 ± 0.004,0.709 ± 0.012,0.707 ± 0.009,0.695 ± 0.009,0.648 ± 0.005
