Generator,AdaBoost,Decision Tree,Extra Trees,Gradient Boosting,KNN,Logistic Regression,MLP,Naive Bayes,Random Forest,SVM-RBF
CTABGAN,0.557 ± 0.013,0.510 ± 0.036,0.538 ± 0.010,0.548 ± 0.015,0.535 ± 0.011,0.584 ± 0.008,0.529 ± 0.011,0.585 ± 0.008,0.541 ± 0.015,0.584 ± 0.008
CTGAN,0.561 ± 0.023,0.533 ± 0.027,0.548 ± 0.018,0.564 ± 0.017,0.493 ± 0.012,0.558 ± 0.013,0.518 ± 0.020,0.553 ± 0.011,0.543 ± 0.018,0.558 ± 0.013
CopulaGAN,0.566 ± 0.006,0.523 ± 0.032,0.556 ± 0.012,0.564 ± 0.006,0.564 ± 0.010,0.547 ± 0.008,0.551 ± 0.016,0.545 ± 0.010,0.558 ± 0.011,0.548 ± 0.007
ForestDiffusion,0.657 ± 0.011,0.780 ± 0.024,0.914 ± 0.005,0.788 ± 0.012,0.855 ± 0.006,0.663 ± 0.006,0.837 ± 0.008,0.594 ± 0.004,0.887 ± 0.005,0.663 ± 0.006
GaussianCopula,0.584 ± 0.009,0.539 ± 0.024,0.589 ± 0.018,0.585 ± 0.015,0.545 ± 0.012,0.571 ± 0.010,0.576 ± 0.011,0.602 ± 0.019,0.576 ± 0.022,0.570 ± 0.010
TVAE,0.609 ± 0.004,0.582 ± 0.012,0.625 ± 0.006,0.596 ± 0.006,0.601 ± 0.007,0.610 ± 0.008,0.608 ± 0.007,0.579 ± 0.013,0.616 ± 0.005,0.609 ± 0.007
TabDDPM,0.483 ± 0.013,0.491 ± 0.031,0.456 ± 0.015,0.483 ± 0.019,0.485 ± 0.011,0.509 ± 0.014,0.477 ± 0.013,0.513 ± 0.013,0.450 ± 0.021,0.508 ± 0.014
WGAN_GP,0.662 ± 0.013,0.617 ± 0.018,0.698 ± 0.009,0.684 ± 0.011,0.679 ± 0.008,0.631 ± 0.006,0.711 ± 0.011,0.632 ± 0.006,0.697 ± 0.010,0.630 ± 0.007
