Generator,Mean_Accuracy,Std,N,Rank
ForestDiffusion,0.862694079129904,0.012722412900720074,20,1
WGAN_GP,0.8016273923113093,0.015195599076065472,20,2
TVAE,0.7649118426163628,0.013886132109129886,20,3
GaussianCopula,0.7170363450243722,0.022794776934210375,20,4
CTABGAN,0.7169818399002333,0.018207267817093253,20,5
CTGAN,0.6311005070108265,0.026800183101377238,20,6
TabDDPM,0.49747755542510347,0.0507388298892744,20,7
CopulaGAN,0.45574908951252774,0.03849553770030579,20,8
